"Date","Price","Open","High","Low","Vol.","Change %"
"02/27/2026","5.0941","5.0948","5.1043","5.0890","","0.00%"
"02/26/2026","5.0940","5.0929","5.1006","5.0887","","0.01%"
"02/25/2026","5.0933","5.0941","5.1018","5.0898","","-0.02%"
"02/24/2026","5.0944","5.0964","5.1024","5.0906","","-0.04%"
"02/23/2026","5.0964","5.0985","5.1073","5.0931","","-0.02%"
"02/20/2026","5.0972","5.0968","5.1036","5.0916","","0.00%"
"02/19/2026","5.0974","5.0942","5.1015","5.0907","","0.06%"
"02/18/2026","5.0943","5.0958","5.1001","5.0901","","-0.03%"
"02/17/2026","5.0960","5.0948","5.1003","5.0810","","0.02%"
"02/16/2026","5.0948","5.0934","5.0984","5.0853","","0.03%"
"02/13/2026","5.0934","5.0914","5.1038","5.0877","","0.04%"
"02/12/2026","5.0914","5.0897","5.0962","5.0855","","0.03%"
"02/11/2026","5.0899","5.0910","5.0975","5.0753","","-0.02%"
"02/10/2026","5.0910","5.0889","5.0960","5.0822","","0.03%"
"02/09/2026","5.0895","5.0930","5.1024","5.0860","","-0.07%"
"02/06/2026","5.0930","5.0942","5.0966","5.0892","","-0.02%"
"02/05/2026","5.0938","5.0949","5.0995","5.0870","","-0.02%"
"02/04/2026","5.0947","5.0947","5.0984","5.0915","","-0.01%"
"02/03/2026","5.0951","5.0956","5.0992","5.0909","","-0.01%"
"02/02/2026","5.0956","5.0978","5.1005","5.0870","","0.01%"
"01/30/2026","5.0950","5.0970","5.1029","5.0922","","-0.04%"
"01/29/2026","5.0970","5.0964","5.1028","5.0917","","0.01%"
"01/28/2026","5.0964","5.0965","5.1015","5.0893","","0.01%"
