"Data","Piata","Tranzactii","Volum","Valoare","Pret deschidere","Pret minim","Pret maxim","Pret mediu","Pret inchidere","Var. (%)"
"28.11.2025","REGS","66","352.724","151.731,50","0,4310","0,4280","0,4315","0,4300","0,4280","-0,7000"
"27.11.2025","REGS","54","801.859","345.350,41","0,4250","0,4250","0,4315","0,4305","0,4310","0,5800"
"26.11.2025","REGS","111","265.686","113.969,69","0,4290","0,4270","0,4305","0,4290","0,4285","-0,1200"
"25.11.2025","REGS","51","234.518","100.769,90","0,4295","0,4280","0,4310","0,4295","0,4290","-0,5800"
"24.11.2025","REGS","113","2.596.911","1.105.072,68","0,4165","0,4165","0,4315","0,4255","0,4315","3,3500"
"21.11.2025","REGS","185","1.003.594","418.754,01","0,4235","0,4110","0,4235","0,4175","0,4175","-1,3000"
"20.11.2025","REGS","74","329.494","139.390,71","0,4260","0,4215","0,4260","0,4230","0,4230","-0,7000"
"19.11.2025","REGS","77","417.381","177.849,19","0,4260","0,4235","0,4290","0,4260","0,4260","0,0000"
"18.11.2025","REGS","84","434.313","186.003,46","0,4265","0,4260","0,4310","0,4285","0,4260","-1,0500"
"17.11.2025","REGS","92","1.369.917","590.160,86","0,4300","0,4280","0,4335","0,4310","0,4305","0,0000"
"14.11.2025","REGS","100","734.053","317.458,34","0,4360","0,4295","0,4360","0,4325","0,4305","-1,3700"
"13.11.2025","REGS","105","2.757.339","1.186.700,49","0,4280","0,4250","0,4375","0,4305","0,4365","2,4600"
"12.11.2025","REGS","98","481.331","205.522,01","0,4285","0,4250","0,4290","0,4270","0,4260","-0,5800"
"11.11.2025","REGS","79","419.964","180.020,43","0,4250","0,4220","0,4315","0,4285","0,4285","0,5900"
"10.11.2025","REGS","101","450.911","193.699,31","0,4285","0,4260","0,4320","0,4295","0,4260","-1,0500"
"07.11.2025","REGS","93","472.338","202.744,49","0,4290","0,4280","0,4310","0,4290","0,4305","0,3500"
"06.11.2025","REGS","53","198.992","85.292,40","0,4295","0,4280","0,4295","0,4285","0,4290","-0,1200"
"05.11.2025","REGS","60","122.641","52.620,88","0,4285","0,4250","0,4300","0,4290","0,4295","0,0000"
"04.11.2025","REGS","93","553.559","237.757,62","0,4310","0,4280","0,4320","0,4295","0,4295","-0,3500"
"03.11.2025","REGS","122","309.365","133.332,66","0,4305","0,4300","0,4325","0,4310","0,4310","0,1200"
"31.10.2025","REGS","100","965.789","416.954,98","0,4345","0,4305","0,4350","0,4315","0,4305","-0,9200"
"30.10.2025","REGS","220","3.889.959","1.689.112,25","0,4290","0,4290","0,4390","0,4340","0,4345","0,9300"
"29.10.2025","REGS","88","1.248.657","536.395,03","0,4315","0,4280","0,4325","0,4295","0,4305","-0,2300"
"28.10.2025","REGS","131","2.539.415","1.086.758,23","0,4280","0,4250","0,4315","0,4280","0,4315","0,8200"
"27.10.2025","REGS","112","949.141","406.199,13","0,4260","0,4255","0,4305","0,4280","0,4280","0,5900"
"24.10.2025","REGS","109","1.521.258","647.623,52","0,4280","0,4230","0,4280","0,4255","0,4255","0,2400"
"23.10.2025","REGS","83","490.139","207.821,23","0,4250","0,4230","0,4280","0,4240","0,4245","-0,5900"
"22.10.2025","REGS","74","293.870","125.319,98","0,4260","0,4245","0,4285","0,4265","0,4270","0,1200"
"21.10.2025","REGS","89","712.689","305.732,60","0,4280","0,4260","0,4320","0,4290","0,4265","-0,3500"
"20.10.2025","REGS","73","694.337","298.128,46","0,4280","0,4280","0,4315","0,4295","0,4280","-0,2300"
"17.10.2025","REGS","141","4.442.921","1.914.274,76","0,4350","0,4260","0,4365","0,4310","0,4290","-1,3800"
"16.10.2025","REGS","153","3.913.256","1.682.059,86","0,4210","0,4210","0,4350","0,4300","0,4350","2,5900"
