"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","40.720","38.470","41.705","38.100","1.37M","7.34%"
"11/01/2025","37.935","37.500","39.990","37.300","1.31M","1.58%"
"10/01/2025","37.345","35.250","38.200","35.250","895.51K","5.54%"
"09/01/2025","35.385","34.220","35.500","33.380","759.16K","3.78%"
"08/01/2025","34.095","33.200","35.490","33.200","722.41K","2.02%"
"07/01/2025","33.420","30.955","33.590","30.600","693.51K","8.03%"
"06/01/2025","30.935","29.400","31.000","29.205","725.44K","4.85%"
"05/01/2025","29.505","27.200","29.400","25.280","1.05M","8.93%"
"04/01/2025","27.085","27.650","27.750","25.190","567.67K","-1.87%"
"03/01/2025","27.600","27.845","27.990","27.000","447.88K","-0.52%"
"02/01/2025","27.745","26.785","27.995","26.600","633.41K","3.51%"
"01/01/2025","26.805","26.945","27.410","26.560","616.25K","0.37%"
"12/01/2024","26.705","25.990","28.000","24.605","1.91M","2.75%"
"11/01/2024","25.990","27.800","28.410","25.525","183.69K","-6.86%"
"10/01/2024","27.905","28.155","28.320","27.715","36.27K","-0.87%"
"09/01/2024","28.150","29.300","29.350","27.600","59.78K","-3.63%"
"08/01/2024","29.210","29.615","29.795","26.810","31.81K","-1.28%"
"07/01/2024","29.590","28.950","29.795","28.710","1.51M","2.46%"
"06/01/2024","28.880","27.150","29.200","27.080","1.46M","6.14%"
"05/01/2024","27.210","26.135","27.995","26.100","1.17M","4.82%"
"04/01/2024","25.960","25.980","28.500","25.500","1.20M","0.00%"
"03/01/2024","25.960","24.495","25.995","24.375","887.64K","6.39%"
"02/01/2024","24.400","23.910","24.730","23.760","709.13K","2.63%"
