"Date","Price","Open","High","Low","Vol.","Change %"
"01/27/2026","46.800","46.500","47.375","46.500","139.32K","1.62%"
"01/26/2026","46.055","45.855","46.610","45.855","114.51K","1.20%"
"01/23/2026","45.510","45.680","46.500","45.000","110.46K","0.52%"
"01/22/2026","45.275","44.900","46.495","44.900","160.88K","1.94%"
"01/21/2026","44.415","45.005","45.090","44.000","102.35K","-1.19%"
"01/20/2026","44.950","45.450","46.000","44.900","109.90K","-0.44%"
"01/19/2026","45.150","46.280","46.320","45.000","179.08K","-1.74%"
"01/16/2026","45.950","46.075","46.800","45.950","181.42K","0.40%"
"01/15/2026","45.765","45.150","46.200","45.150","126.01K","1.94%"
"01/14/2026","44.895","44.900","45.600","44.800","173.88K","0.89%"
"01/13/2026","44.500","44.705","45.635","44.500","209.30K","0.49%"
"01/12/2026","44.285","43.955","45.500","43.870","259.40K","2.16%"
"01/09/2026","43.350","42.800","44.950","42.800","240.14K","1.74%"
"01/08/2026","42.610","41.800","42.850","41.795","172.09K","2.94%"
"01/05/2026","41.395","40.650","42.045","40.650","173.72K","1.66%"
"12/30/2025","40.720","40.470","40.650","40.460","129.76K","0.64%"
"12/29/2025","40.460","40.380","40.555","40.180","124.02K","0.02%"
"12/23/2025","40.450","40.210","40.460","40.100","91.91K","0.62%"
"12/22/2025","40.200","40.030","40.400","40.030","107.73K","0.76%"
"12/19/2025","39.895","40.200","40.400","39.990","67.28K","-0.45%"
