"Date","Price","Open","High","Low","Vol.","Change %"
"01/18/2026","0.4680","0.4800","0.4845","0.4545","8.69M","-3.60%"
"01/11/2026","0.4855","0.4745","0.4890","0.4680","12.10M","3.30%"
"01/04/2026","0.4700","0.4300","0.4745","0.4300","9.02M","9.18%"
"12/28/2025","0.4305","0.4340","0.4355","0.4290","5.59M","-1.03%"
"12/21/2025","0.4350","0.4395","0.4395","0.4320","2.21M","-1.02%"
"12/14/2025","0.4395","0.4400","0.4450","0.4340","3.82M","0.92%"
"12/07/2025","0.4355","0.4430","0.4485","0.4355","2.73M","-2.13%"
"11/30/2025","0.4450","0.4280","0.4575","0.4250","8.52M","3.97%"
"11/23/2025","0.4280","0.4165","0.4315","0.4165","4.25M","2.51%"
"11/16/2025","0.4175","0.4300","0.4335","0.4110","3.55M","-3.02%"
"11/09/2025","0.4305","0.4285","0.4375","0.4220","4.84M","0.00%"
"11/02/2025","0.4305","0.4305","0.4325","0.4250","1.66M","0.00%"
"10/26/2025","0.4305","0.4260","0.4390","0.4250","9.59M","1.18%"
"10/19/2025","0.4255","0.4280","0.4320","0.4230","3.71M","-0.82%"
"10/12/2025","0.4290","0.4280","0.4365","0.4210","11.87M","0.23%"
"10/05/2025","0.4280","0.4340","0.4370","0.4240","14.30M","-1.38%"
"09/28/2025","0.4340","0.4375","0.4440","0.4310","3.43M","-0.80%"
"09/21/2025","0.4375","0.4342","0.4680","0.4278","14.66M","1.32%"
"09/14/2025","0.4318","0.4294","0.4350","0.4278","3.74M","0.19%"
"09/07/2025","0.4310","0.4318","0.4350","0.4254","1.68M","-0.19%"
"08/31/2025","0.4318","0.4350","0.4438","0.4166","10.18M","-20.63%"
"08/24/2025","0.5440","0.5350","0.5600","0.5320","2.23M","1.68%"
"08/17/2025","0.5350","0.5430","0.5470","0.5160","8.56M","-1.47%"
"08/10/2025","0.5430","0.5620","0.5670","0.5400","2.14M","-3.21%"
"08/03/2025","0.5610","0.5340","0.5860","0.5340","8.76M","4.28%"
"07/27/2025","0.5380","0.5400","0.5410","0.5300","1.73M","-0.37%"
"07/20/2025","0.5400","0.5470","0.5470","0.5130","7.70M","-1.28%"
"07/13/2025","0.5470","0.4870","0.5850","0.4830","17.36M","12.32%"
"07/06/2025","0.4870","0.4295","0.5000","0.4240","12.16M","14.32%"
"06/29/2025","0.4260","0.4410","0.4430","0.4205","2.77M","-2.96%"
"06/22/2025","0.4390","0.4560","0.4570","0.4390","2.61M","-3.73%"
"06/15/2025","0.4560","0.4695","0.4695","0.4495","3.02M","-2.36%"
"06/08/2025","0.4670","0.4810","0.4810","0.4635","1.79M","-3.21%"
"06/01/2025","0.4825","0.4670","0.4900","0.4585","5.89M","3.54%"
"05/25/2025","0.4660","0.4700","0.4810","0.4635","3.29M","-0.85%"
"05/18/2025","0.4700","0.4350","0.4950","0.4320","9.31M","12.31%"
"05/11/2025","0.4185","0.3350","0.4350","0.3350","13.88M","23.82%"
"05/04/2025","0.3380","0.3600","0.3600","0.3325","4.49M","-6.89%"
"04/27/2025","0.3630","0.3750","0.3750","0.3610","1.61M","-3.20%"
"04/20/2025","0.3750","0.3705","0.3750","0.3650","2.84M","1.21%"
"04/13/2025","0.3705","0.3755","0.3770","0.3700","1.74M","-0.67%"
"04/06/2025","0.3730","0.3645","0.3890","0.3400","5.50M","2.33%"
"03/30/2025","0.3645","0.3885","0.3900","0.3645","4.12M","-6.18%"
"03/23/2025","0.3885","0.4130","0.4160","0.3850","6.46M","-5.82%"
"03/16/2025","0.4125","0.4345","0.4345","0.4110","4.73M","-4.84%"
"03/09/2025","0.4335","0.4200","0.4380","0.4150","2.92M","3.09%"
"03/02/2025","0.4205","0.4270","0.4280","0.4120","2.04M","-1.52%"
"02/23/2025","0.4270","0.4285","0.4310","0.4195","2.57M","1.55%"
"02/16/2025","0.4205","0.4190","0.4395","0.4190","4.92M","0.36%"
"02/09/2025","0.4190","0.4150","0.4190","0.4120","1.69M","0.96%"
"02/02/2025","0.4150","0.4215","0.4300","0.4150","3.03M","-0.95%"
