"Date","Price","Open","High","Low","Vol.","Change %"
"01/27/2026","0.4925","0.4710","0.4930","0.4710","4.60M","4.68%"
"01/26/2026","0.4705","0.4680","0.4715","0.4670","731.54K","0.53%"
"01/23/2026","0.4680","0.4710","0.4735","0.4665","629.27K","-0.64%"
"01/22/2026","0.4710","0.4625","0.4740","0.4625","2.23M","2.61%"
"01/21/2026","0.4590","0.4695","0.4695","0.4545","2.72M","-2.34%"
"01/20/2026","0.4700","0.4750","0.4750","0.4690","1.12M","-1.67%"
"01/19/2026","0.4780","0.4800","0.4845","0.4715","2.00M","-1.54%"
"01/16/2026","0.4855","0.4800","0.4880","0.4710","2.52M","1.46%"
"01/15/2026","0.4785","0.4760","0.4800","0.4750","1.56M","0.63%"
"01/14/2026","0.4755","0.4710","0.4755","0.4705","1.08M","0.85%"
"01/13/2026","0.4715","0.4850","0.4890","0.4680","3.15M","-2.68%"
"01/12/2026","0.4845","0.4745","0.4850","0.4705","3.79M","3.09%"
"01/09/2026","0.4700","0.4545","0.4745","0.4545","2.95M","3.30%"
"01/08/2026","0.4550","0.4435","0.4570","0.4435","3.46M","2.71%"
"01/05/2026","0.4430","0.4300","0.4440","0.4300","2.61M","2.90%"
"12/30/2025","0.4305","0.4340","0.4350","0.4290","3.14M","-0.58%"
"12/29/2025","0.4330","0.4340","0.4355","0.4300","2.45M","-0.46%"
"12/23/2025","0.4350","0.4350","0.4360","0.4320","1.60M","0.23%"
"12/22/2025","0.4340","0.4395","0.4395","0.4320","609.51K","-1.25%"
"12/19/2025","0.4395","0.4405","0.4410","0.4370","218.02K","-0.23%"
